Timestamp: 2024-05-08T17:10:44.544Z	 LogLevel: Info 	 message: Customer discount: 0.16999999999999998
Timestamp: 2024-05-08T17:10:44.544Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.559501 milliseconds
Timestamp: 2024-05-08T17:10:44.544Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.1254 milliseconds
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Info 	 message: Customer discount: 0.165
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.4766 milliseconds
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.545Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.120201 milliseconds
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.1107 milliseconds
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Info 	 message: Customer discount: 0.05
Timestamp: 2024-05-08T17:10:44.546Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.165501 milliseconds
